AVAX,30,12.3%,Stake Now,60,14.3%,Stake Now,90,21.2%,Stake Now
ROSE,30,14.12%,Check,60,16.81%,Check,90,23.03%,Check
AXS,30,75.28%,Check,60,89.26%,Check,90,104.62%,Stake Now
BNB,30,5.86%,Stake Now,60,6.53%,Stake Now,90,8.69%,Check
CAKE,30,42.25%,Check,60,45.47%,Check,90,70.56%,Stake Now
DOT,30,12.18%,Stake Now,60,14.79%,Check,90,17.29%,Check
LPT,30,8.99%,Stake Now,60,11.25%,Check,90,14.21%,Check
MATIC,30,12.18%,Stake Now,60,17.09%,Check,90,21.12%,Stake Now
SAND,30,8.5%,Stake Now,60,10.75%,Check,90,15.19%,Stake Now
